Sample	10	11	12	13	14	15	16	17	18	19	1	20	2	3	4	5	6	7	8	9	MT	X
GRASO_158	2521397	867912	6240996	824320	1773120	752406	873116	1098714	858295	1452978	5284291	993203	2645715	1742276	1857610	1928283	6956182	4819971	3832735	1166069	1875367	2831864
GRASO_159	6308678	2434872	14064340	1977596	8407080	1915920	1950977	2577701	1990927	3498954	11605634	2992389	6602807	4543817	4476252	4583125	13290703	14152423	8721163	3206630	3560312	6173225
GRASO_160	3944407	1569828	6809523	1394743	5188438	1178814	1611436	1592193	1252883	1880724	7997026	1569731	4473813	3286050	3318098	3452094	8203869	6610296	5077323	2268375	3538935	4010883
GRASO_161	2550153	1117885	5277267	971760	5234759	859422	967126	1085848	861241	1151052	5004551	1061142	3433116	2138041	2215676	2310841	6625285	4257146	3475913	1460350	2632934	2751689
GRASO_162	3728595	1677261	8012551	1456851	5070510	1338749	1378469	1683770	1320071	1971889	7470358	2065291	4926287	3247057	3203895	3514183	7625314	9449728	5594253	2289015	4705920	3866184
GRASO_163	2465419	1115908	6061790	923260	4573055	822512	996004	1024477	802576	1420280	4863576	1238344	3469787	2144731	2103668	2206412	5530210	4829713	4629961	1458491	3624019	2559201
GRASO_164	2328471	954802	4707938	764137	2632032	699240	769666	922989	709230	1227577	4858671	955976	2922435	1741362	1693154	1880483	5190872	5207097	3423062	1121087	2981708	2358789
GRASO_165	3455959	1599648	8203903	1286343	5301527	1178735	1299757	1515082	1170639	1730678	6499554	1875147	4763950	3043708	2881541	2904274	7720447	7347345	5448815	1935860	3893135	3842887
GRASO_166	2673625	1238674	5699115	1022612	3415087	952568	993192	1220067	965564	1281048	5041254	1535798	3584678	2302641	2263949	2318349	5702209	5012837	4073973	1605380	2891262	2810758
GRASO_167	2071465	1008721	5710130	884431	3064370	792200	676121	938978	746188	1334816	4186954	1161115	2804652	1889994	1828128	2089139	6496851	5064536	3705096	1341925	2740669	2543077
GRASO_168	3148993	1291091	13385810	1025154	6696940	968400	898736	1135241	901215	2438924	7421048	1602684	3352942	2331015	2252175	3280237	11640408	9974981	5704745	1744759	2263179	4492061
GRASO_169	4187804	1012066	13161760	471000	32747589	886120	664768	944427	603968	3131959	11908706	1454573	3078640	1825040	1834199	6238491	19336631	8101305	4298103	1919380	284997	3768085
GRASO_170	3466442	1446638	6909279	1154655	3768287	1132158	1026233	1425031	1141308	1681482	6357367	1988938	3843570	2683610	2649426	2703790	7071788	6794181	4590602	1820917	1366039	3838062
GRASO_171	3565317	1558605	5544186	1275554	3092143	1149218	1292794	1335365	1100208	1643349	6384456	1590756	4075060	2977945	2877651	2738061	5797389	5904791	4045242	2037536	1205069	2811618
GRASO_172	2016938	884670	2996903	737096	3241740	631735	741513	788101	624192	957051	3588696	844908	2727244	1672237	1658502	1571511	4047963	3137079	2450834	1139126	1264055	1936155
GRASO_173	1751871	728025	3976482	621176	2113621	566997	585443	617531	496154	996942	3137328	726460	1952179	1417439	1336692	1425581	3952968	3831252	2544434	1001103	1418704	1704809
GRASO_174	1854527	833746	1950426	707482	2483269	595247	774460	691412	589825	774482	4137356	887838	2030403	1679786	1602410	1781132	2510690	2407906	1812191	1101070	397585	1136503
GRASO_175	2180258	982461	7154258	780754	2335160	705162	828806	911191	726149	1362777	4094178	971148	2988102	1840048	1912470	1867793	6813546	7341634	4192275	1217843	1838608	3125567
GRASO_176	3013976	1218052	5567743	688848	3101443	695284	773532	900725	724408	1520145	4675745	1130819	3698637	2083168	1877732	2052448	8306634	5261028	3190731	1433418	617736	2399781
GRASO_177	1744522	801656	3789774	647909	1825404	603669	645237	747998	608775	1066321	3482265	900136	2133363	1505684	1528077	1431068	4494057	3603590	2402880	992059	483342	2029840
GRASO_178	3192889	1329180	4387523	1130664	2991662	1076671	1117948	1225581	1048385	1517883	5868011	1566182	3427433	2554641	2502861	2569136	5553479	4611069	3425308	1841487	1182001	2363880
GRASO_179	5306899	1661039	7332128	1700362	4954370	1523423	1347495	1831980	1417132	2100538	8944778	1541345	4525118	3513561	3223473	3724234	7553217	6910823	4887689	2478771	1530090	3303297
GRASO_180	3458274	1374241	9114063	1104533	2843498	1080977	1040239	1281047	1024117	1971619	6580419	1471014	3561743	2464424	2422799	2452372	7790401	7402155	4726473	1817665	1550101	3446472
HIGADO_01	1343812	875958	2511216	757756	13806172	473035	640753	562658	513205	885087	5742603	628999	1696096	1110376	2364718	2644149	4429403	2455529	2441114	1114565	1557490	1126090
HIGADO_02	1995488	1170467	5175616	1267754	16827869	705274	865575	772266	829227	1500730	7756959	828331	2791092	1629501	3991998	6765583	7285114	4642341	4102097	1495075	1733308	2045239
HIGADO_03	1546456	1068890	2797063	1065033	20818729	580669	836736	629239	575560	1067756	7995559	765753	2311923	1348040	2769587	4007613	6240770	2783717	2903351	1356164	1511098	1246992
HIGADO_04	1712696	942501	3769594	892365	22500668	612439	693668	616980	608085	1184913	6961148	636899	2200057	1306380	2880842	4255103	6554093	3352017	2894868	1297543	1245755	1535137
HIGADO_05	1648687	959051	2472881	1065700	10540309	543995	774218	613844	650689	977285	5454010	688791	2236555	1335346	3662881	4508232	4066422	2534163	2835733	1341518	1040330	1137076
HIGADO_06	1757535	982303	2634222	1085215	20542413	598004	788368	578338	636327	996546	7810643	684245	2458716	1399949	3933953	5650120	6218137	2628012	3053956	1377116	1300713	1142178
HIGADO_07	2154262	1428201	4506660	1466774	34605439	850833	1055819	953579	1037208	1392707	9612687	1004946	3303159	1899511	4967045	7324751	8386383	4115949	4377621	1828577	2505848	1882459
HIGADO_08	1462095	951445	3457124	1149327	29041655	634111	787539	679458	666404	1252818	10410289	730630	2314340	1429946	3594136	8492808	8074429	3107222	3196927	1336337	2005390	1439430
HIGADO_09	1391719	868945	4259045	876223	15822339	498798	642848	511896	539214	1290958	7261135	562046	2081515	1178855	2762913	5242038	8365696	3177804	2805771	1168661	1057275	1437121
HIGADO_10	1834644	1222105	5583875	1035265	26071238	601755	801241	613094	570010	1456438	9261355	821079	2595316	1407915	2550391	4776257	8464334	4714038	3572547	1383188	1558417	1996548
HIGADO_11	2100217	1298944	6669999	1159653	23885480	686839	994071	754610	729956	1817552	11069917	869248	2851482	1666762	4338480	6185570	10689461	5246577	4279624	1640783	2400827	2444561
HIGADO_12	1858988	1164922	7128718	1190286	22271449	684949	844480	681337	702495	1931479	9824307	761132	2969003	1500660	4037623	7229746	11335570	5683807	4319141	1467631	1909962	2478240
HIGADO_13	2367002	1690935	5823319	1704474	38566841	841345	1313281	954936	840739	1894979	12143982	1333730	4051500	2090515	3883899	5454641	11026380	6252737	5006496	2317844	3365833	2471245
HIGADO_14	2800398	1959640	10619675	1530531	21419998	924192	1259933	1003031	949156	3095983	10081026	1151301	4487936	2170292	4410861	4724252	15573373	7973964	6058218	2196001	2482214	3737588
HIGADO_15	3178899	1654315	10374258	1563337	28753862	922966	1249413	894009	943376	2657758	9865350	1192895	4120339	2060025	4599598	5415673	12701947	8143489	6282581	2267024	2259432	3561411
HIGADO_16	1443184	864921	4244578	895231	29375356	531345	636227	587846	622008	1095895	6621952	594733	2156046	1185691	3070130	4772545	7475215	3907679	3201875	1133250	1481279	1622327
HIGADO_17	2242758	1446850	5609702	1380684	24475536	821824	1030548	881471	915185	1721927	8628744	944652	3352966	1863105	5432305	6511949	9672553	4691968	4257663	2067956	2561383	2038182
HIGADO_18	2553469	1510393	6969843	1487492	56250543	1009189	1154803	1063394	1058594	1705763	12926219	1222297	3657151	2055048	5075329	9487259	12563517	5840741	5116862	2033467	4578630	2528769
HIGADO_19	2101740	1384973	4233672	1242333	25257297	765090	1021174	889288	839798	1432066	9573338	996626	2778943	1796897	3845957	4979115	8082107	4158674	3970511	1852346	2273088	1984272
HIGADO_20	1354485	961468	4396443	852594	14626176	561318	731722	608573	522266	1352742	6871735	669499	2311053	1196571	2012979	3123616	7133417	3959685	3147568	1111317	1491230	1665391
HIGADO_21	3329350	2301981	10312950	2094485	34241488	1317732	1533180	1563772	1608814	3282291	13246276	1415239	5430115	2885788	7010416	10893793	15799702	9867969	7839638	2740935	2799353	4369085
HIGADO_22	963412	585460	2074421	521374	13505277	365471	461837	358525	348678	692773	4588485	449540	1328827	756330	1790044	2060878	3912103	1863093	1774963	726429	854948	826236
HIGADO_23	1987944	1406141	5565887	1253639	25862554	761486	1025766	849265	795915	1730462	9245383	1062363	3005945	1767140	2964987	4553481	8975404	4596199	4192407	1772396	2572939	2345868
HIGADO_24	2206509	1504831	10301736	1346234	23217521	855547	1144719	989449	894336	2669581	9299811	1008125	3555692	1889311	3680722	4317343	11609897	8730959	5946972	1761237	2252935	3812822
HIGADO_25	906689	586840	1428620	660323	6514926	342663	464067	357551	383823	563892	3377737	426683	1350907	823740	1865267	3045569	2577492	1587727	1849143	791618	963642	695017
