Sample	Mapped (with MQ>0)	MQ0
MUSCULO_72	15989018.0	1532807.0
MUSCULO_73	31255656.0	4553920.0
MUSCULO_74	34123019.0	1974170.0
MUSCULO_75	28327657.0	1592218.0
MUSCULO_76	27360825.0	1103910.0
MUSCULO_77	52939574.0	3329848.0
MUSCULO_78	42485705.0	5216560.0
MUSCULO_79	33461098.0	2785445.0
MUSCULO_80	24893918.0	2584901.0
MUSCULO_81	23410856.0	2575211.0
MUSCULO_82	36722409.0	1676365.0
MUSCULO_83	42198327.0	5084109.0
MUSCULO_84	34319846.0	1460981.0
MUSCULO_85	33670036.0	2387868.0
MUSCULO_86	27164755.0	4131184.0
MUSCULO_87	30730492.0	3245148.0
MUSCULO_88	37834287.0	4635263.0
MUSCULO_89	25158158.0	692894.0
MUSCULO_90	76989201.0	5261662.0
MUSCULO_91	34742514.0	2729070.0
MUSCULO_92	41147407.0	1450722.0
MUSCULO_93	36015840.0	2649796.0
MUSCULO_94	26349969.0	3080509.0
MUSCULO_95	39571155.0	3276210.0
MUSCULO_96	32806559.0	2655521.0
MUSCULO_97	19204635.0	6581883.0
MUSCULO_98	43491423.0	1921049.0
MUSCULO_99	38004436.0	4136234.0
