Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
MUSCULO_106	18247091.0	6567899.0	76426.0	1320216.0	94677.0
MUSCULO_107	27432309.0	6003368.0	32097.0	1417917.0	161446.0
MUSCULO_108	41302939.0	9966492.0	28126.0	1839695.0	477355.0
MUSCULO_109	21268833.0	4215997.0	18763.0	978982.0	167597.0
MUSCULO_110	19896738.0	5697568.0	42583.0	1144017.0	177659.0
MUSCULO_111	18745599.0	5219568.0	27527.0	1514002.0	159098.0
MUSCULO_112	26419073.0	5502550.0	71302.0	1391038.0	245280.0
MUSCULO_113	29183011.0	3999189.0	18568.0	1496745.0	13891.0
MUSCULO_114	25898034.0	6094850.0	25974.0	1610808.0	23540.0
MUSCULO_115	35273109.0	6309081.0	25658.0	1165623.0	17142.0
MUSCULO_116	47820805.0	15206632.0	160118.0	2657851.0	511636.0
MUSCULO_117	19042388.0	3966123.0	20375.0	791749.0	11888.0
MUSCULO_118	27150353.0	6339218.0	30863.0	959599.0	274668.0
MUSCULO_119	21899660.0	8037461.0	20614.0	1263576.0	75064.0
MUSCULO_120	24889883.0	4647103.0	116341.0	884931.0	48824.0
MUSCULO_61	33855782.0	10082300.0	98916.0	2154863.0	623036.0
MUSCULO_62	48594003.0	7968036.0	23707.0	1235889.0	23101.0
MUSCULO_63	38026210.0	9959638.0	34979.0	1327229.0	318137.0
MUSCULO_64	22251213.0	6088064.0	16152.0	952202.0	209308.0
MUSCULO_65	18536000.0	4311154.0	50400.0	592909.0	39998.0
MUSCULO_66	19355890.0	3202149.0	13005.0	878360.0	18738.0
MUSCULO_67	20372216.0	4747240.0	30990.0	1073584.0	214188.0
MUSCULO_68	18676118.0	3780857.0	44083.0	836801.0	105479.0
MUSCULO_69	19245085.0	4097935.0	65231.0	652648.0	70099.0
MUSCULO_70	20312371.0	4950681.0	57031.0	1368898.0	144658.0
MUSCULO_71	21214636.0	4029928.0	37850.0	812571.0	31353.0
MUSCULO_72	14025678.0	3496147.0	33330.0	482268.0	92465.0
MUSCULO_73	28152181.0	7657395.0	71638.0	1320658.0	288894.0
MUSCULO_74	30567920.0	5529269.0	54075.0	1107681.0	115616.0
MUSCULO_75	25487453.0	4432422.0	25615.0	919547.0	136689.0
MUSCULO_76	24674430.0	3790305.0	19776.0	1003846.0	14762.0
MUSCULO_77	47870092.0	8399330.0	51488.0	1507529.0	162349.0
MUSCULO_78	36887350.0	10814915.0	381864.0	2122076.0	864171.0
MUSCULO_79	29952841.0	6293702.0	80752.0	1237203.0	432641.0
MUSCULO_80	21945922.0	5532897.0	40219.0	870134.0	281430.0
MUSCULO_81	20715221.0	5270846.0	18480.0	1000646.0	209374.0
MUSCULO_82	33738156.0	4660618.0	26776.0	1282832.0	19858.0
MUSCULO_83	36168524.0	11113912.0	141021.0	2101321.0	688711.0
MUSCULO_84	30662329.0	5118498.0	9416.0	935820.0	22019.0
MUSCULO_85	29971349.0	6086555.0	72730.0	1108775.0	74665.0
MUSCULO_86	23411329.0	7884610.0	145750.0	1624619.0	764925.0
MUSCULO_87	27100692.0	6874948.0	82152.0	1176004.0	287783.0
MUSCULO_88	33565311.0	8904239.0	106620.0	2340556.0	897747.0
MUSCULO_89	22188043.0	3663009.0	16635.0	751417.0	7994.0
MUSCULO_90	68911426.0	13339437.0	73393.0	2457831.0	537650.0
MUSCULO_91	31089586.0	6381998.0	90478.0	1210523.0	186833.0
MUSCULO_92	37678546.0	4919583.0	14604.0	1162480.0	26320.0
MUSCULO_93	32286735.0	6378901.0	32645.0	1116448.0	127594.0
MUSCULO_94	23355038.0	6075440.0	70575.0	1285716.0	282609.0
MUSCULO_95	34802543.0	8044822.0	76220.0	1373835.0	236407.0
MUSCULO_96	29931627.0	5530453.0	42649.0	1123387.0	110136.0
MUSCULO_97	14772912.0	11013606.0	507875.0	2989347.0	1194520.0
MUSCULO_98	40108319.0	5304153.0	44210.0	1736013.0	33022.0
MUSCULO_99	33924693.0	8215977.0	75989.0	1858219.0	382313.0
