Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
GRASO_131	2304753	2153000	54718	88657	177498	132246	18190	27062	93.41565018030131	2.37413727197665	3.8467028787900484	74.50562823243078	10.248002794397683	15.246368973171528
GRASO_132	1939604	1816891	44299	71672	168328	129946	15508	22874	93.6732961986055	2.283919810435532	3.6951872650293565	77.19808944441804	9.212965163252697	13.588945392329263
GRASO_133	2136134	2002665	48712	77718	170379	129837	16774	23768	93.75184328323972	2.280381286941737	3.638254903484519	76.20481397355307	9.845110019427276	13.950076007019643
GRASO_134	1331063	1250019	28451	48218	149817	121007	11387	17423	93.9113325214509	2.1374645677928092	3.622518242938163	80.76987257787835	7.600606072742079	11.629521349379576
GRASO_135	1261817	1173618	28360	54232	154400	121329	11756	21315	93.01015915937097	2.247552537333068	4.297929097484025	78.5809585492228	7.6139896373057	13.805051813471502
GRASO_136	1913385	1786787	45809	73999	173565	132280	16947	24338	93.38355845791621	2.394133956313026	3.86743911967534	76.21352231152594	9.764065335753177	14.022412352720885
GRASO_137	700050	640351	13863	41154	131145	104146	6824	20175	91.47218055853153	1.9802871223484035	5.878722948360831	79.41286362423273	5.2034008158908085	15.383735559876472
GRASO_138	1763711	1639576	40861	75827	170679	128676	15274	26729	92.9617153830758	2.316762780296772	4.299287128106589	75.39064559787671	8.948962672619363	15.660391729503923
GRASO_139	1199465	1102747	26573	62934	158908	121757	10887	26264	91.93657172155919	2.2154043677806357	5.246839215817052	76.62106376016311	6.851133989478189	16.527802250358697
GRASO_140	2011959	1864894	48678	89357	179126	131329	17243	30554	92.6904574099174	2.419433000374262	4.4412932867916295	73.31654812813328	9.6261849201121	17.05726695175463
GRASO_141	1732975	1601538	40844	82016	171876	127471	14742	29663	92.41552821015883	2.35687185331583	4.732670696345879	74.16451395191882	8.577113733156462	17.258372314924713
GRASO_142	2071104	1928338	49611	85318	178598	132970	17638	27990	93.10676817774481	2.395389125799573	4.1194454744909	74.45212152431718	9.875810479400664	15.672067996282152
GRASO_143	658420	592644	14327	46592	121958	96092	5739	20127	90.01002399684093	2.175966708180189	7.076334254731023	78.79105921710753	4.705718362059069	16.503222420833403
GRASO_144	475482	432472	8212	32816	109501	89671	4178	15652	90.95444201883562	1.7270895638531008	6.90162824249919	81.89057634176858	3.815490269495256	14.293933388736177
GRASO_145	4029024	3665697	122305	220854	256093	148757	36548	70788	90.98225773785413	3.035598695862819	5.48157568681646	58.08710117027799	14.271377975969667	27.64152085375235
GRASO_146	1339357	1239801	30694	62362	155960	119889	12149	23922	92.56688097348204	2.291696687290991	4.6561148371942656	76.87163375224416	7.789817902026161	15.338548345729674
GRASO_147	1412791	1316898	33067	57387	156691	122999	12748	20944	93.21251338662265	2.34054435510985	4.061959624601232	78.49780778730113	8.135757637643515	13.366434575055363
GRASO_148	1787347	1668680	43468	69024	167402	128800	15617	22985	93.36071842792698	2.431984388034332	3.8618130670765103	76.94053834482264	9.329040274309746	13.730421380867613
GRASO_149	1390770	1302765	30294	52616	153177	122588	11878	18711	93.67221035829073	2.178217821782178	3.783227996002215	80.03029175398395	7.754427884081813	12.215280361934234
GRASO_150	2107209	1951487	52582	93917	181693	131889	18229	31575	92.61003535956803	2.495338620896171	4.456938063571292	72.58892747656762	10.032857622473072	17.37821490095931
GRASO_151	1686792	1573221	40473	66967	164427	126637	15141	22649	93.26704181665552	2.3994066844044792	3.9700804841379376	77.01715654971507	9.20834169570691	13.77450175457802
GRASO_152	2093840	1938596	52129	94612	183258	132846	18529	31883	92.58567989913269	2.4896362663813854	4.518587857715967	72.49124185574436	10.110881926027785	17.397876218227854
GRASO_153	1935661	1791139	45907	89066	178751	131068	16406	31277	92.53371328967211	2.3716446216563747	4.601322235660066	73.32434503862916	9.17813047199736	17.497524489373486
GRASO_154	725636	683206	14786	25411	129337	111782	7375	10180	94.15271568665281	2.037660755530321	3.501893511347287	86.42693119524962	5.702157928512336	7.870910876238045
GRASO_155	2458561	2271589	63472	112711	198394	138949	21898	37547	92.39506361648134	2.581672775253492	4.584429672479145	70.03689627710516	11.037632186457252	18.925471536437595
GRASO_156	951372	892016	19884	35850	132087	109436	8240	14411	93.76101041443306	2.090034182212636	3.7682420756549493	82.85145396594669	6.238312627283533	10.91023340676978
