Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
GRASO_131	103178973	0	58230265	0	0	0	30625674	0	103178973	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	103178973
GRASO_132	67186679	0	33286341	0	0	0	22335498	0	67186679	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	67186679
GRASO_133	82356302	0	41298519	0	0	0	28761965	0	82356302	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	82356302
GRASO_134	45166924	0	16459972	0	0	0	20565580	0	45166924	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	45166924
GRASO_135	52906546	0	23687111	0	0	0	19003416	0	52906546	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	52906546
GRASO_136	91684382	0	54254364	0	0	0	25839198	0	91684382	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	91684382
GRASO_137	47702854	0	23013967	0	0	0	17241539	0	47702854	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47702854
GRASO_138	74799076	0	31996694	0	0	0	27711576	0	74799076	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	74799076
GRASO_139	49575835	0	20525620	0	0	0	17440561	0	49575835	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	49575835
GRASO_140	99157307	0	47581432	0	0	0	34733247	0	99157307	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	99157307
GRASO_141	84729723	0	43942075	0	0	0	25721385	0	84729723	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	84729723
GRASO_142	82391211	0	36212069	0	0	0	29973563	0	82391211	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	82391211
GRASO_143	129254159	0	98559551	0	0	0	26847121	0	129254159	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	129254159
GRASO_144	107760297	0	79131190	0	0	0	25574519	0	107760297	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	107760297
GRASO_145	327168265	0	150938948	0	0	0	138687784	0	327168265	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	327168265
GRASO_146	98112874	0	51804282	0	0	0	36585183	0	98112874	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	98112874
GRASO_147	54020361	0	23324658	0	0	0	21669275	0	54020361	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54020361
GRASO_148	71652087	0	31925712	0	0	0	28777578	0	71652087	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	71652087
GRASO_149	46275314	0	19050034	0	0	0	18178509	0	46275314	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	46275314
GRASO_150	108252617	0	48352472	0	0	0	44089832	0	108252617	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	108252617
GRASO_151	74142079	0	32134381	0	0	0	31956123	0	74142079	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	74142079
