Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
GRASO_154	11932823.0	94.0	8357967.0	70.04	96.47	1772341.0	1767608.0	1734725.0	24175.0	6279.0	7162.0	0.4	0.02	1.98	0.01	1.75	2463731.0	20.65	14451.0	0.12	0.0	9.1	0.09	0	1085934	10740
GRASO_155	69688275.0	97.0	52347168.0	75.12	97.03	12444265.0	12418182.0	12277805.0	107499.0	9577.0	49384.0	0.41	0.02	2.05	0.01	1.8	15201511.0	21.81	112833.0	0.16	0.0	2.63	0.28	0	1831748	195015
GRASO_156	27811749.0	88.0	16880306.0	60.69	95.73	4724398.0	4714709.0	4634001.0	63517.0	4297.0	22583.0	0.43	0.02	2.1	0.01	1.74	5765201.0	20.73	33468.0	0.12	0.0	18.36	0.09	0	5107736	25038
GRASO_157	37701549.0	93.0	27885676.0	73.96	96.66	5657400.0	5642805.0	5573931.0	56606.0	5718.0	21145.0	0.45	0.02	2.12	0.02	1.83	6003000.0	15.92	49492.0	0.13	0.0	9.85	0.13	0	3714359	49022
GRASO_158	30773485.0	98.0	23821034.0	77.41	97.45	6070414.0	6059633.0	5996835.0	44930.0	5740.0	22909.0	0.44	0.02	2.07	0.01	1.77	6012310.0	19.54	45585.0	0.15	0.0	2.81	0.1	0	863815	30741
GRASO_159	69519096.0	98.0	54752128.0	78.76	97.32	12891016.0	12868273.0	12714046.0	103383.0	27311.0	46276.0	0.39	0.02	2.04	0.01	1.74	13203348.0	18.99	101883.0	0.15	0.0	1.91	0.19	0	1329485	132252
GRASO_160	49281137.0	97.0	40058291.0	81.29	96.94	10397100.0	10380544.0	10268768.0	81663.0	8946.0	37723.0	0.39	0.02	2.03	0.01	1.73	8083679.0	16.4	49959.0	0.1	0.0	2.08	0.13	0	1025137	64071
GRASO_161	35080212.0	93.0	26691657.0	76.09	95.48	5755630.0	5741445.0	5675052.0	52390.0	6485.0	21703.0	0.48	0.02	2.16	0.02	1.8	5790781.0	16.51	39976.0	0.11	0.0	7.2	0.09	0	2526220	31578
GRASO_162	51895889.0	97.0	41452563.0	79.88	97.09	9512417.0	9494957.0	9382341.0	86270.0	8378.0	35428.0	0.43	0.02	2.08	0.01	1.78	8629942.0	16.63	78075.0	0.15	0.0	3.18	0.17	0	1647249	88060
GRASO_163	36079617.0	95.0	27219536.0	75.44	96.97	6620179.0	6608275.0	6514353.0	64299.0	16125.0	25402.0	0.45	0.02	2.09	0.01	1.74	6429894.0	17.82	56755.0	0.16	0.0	6.45	0.13	0	2326540	46892
GRASO_164	30477057.0	94.0	22831911.0	74.92	96.87	5114277.0	5104257.0	5036264.0	53281.0	4952.0	19780.0	0.44	0.02	2.1	0.01	1.74	5105821.0	16.75	28003.0	0.09	0.0	8.15	0.09	0	2483893	27429
GRASO_165	47651618.0	95.0	36572398.0	76.75	96.72	9156658.0	9141527.0	9021784.0	91709.0	7864.0	35301.0	0.42	0.02	2.08	0.01	1.72	7938592.0	16.66	52125.0	0.11	0.0	6.37	0.11	0	3036075	52428
GRASO_166	36833197.0	95.0	28543542.0	77.49	96.91	6628947.0	6616161.0	6518893.0	69633.0	14870.0	25551.0	0.42	0.02	2.14	0.01	1.78	6019753.0	16.34	53652.0	0.15	0.0	5.91	0.11	0	2175754	40496
GRASO_167	31204861.0	93.0	22473484.0	72.02	95.97	4189862.0	4177283.0	4126528.0	42638.0	4004.0	16692.0	0.47	0.02	2.15	0.02	1.86	5574878.0	17.87	47136.0	0.15	0.0	9.84	0.12	0	3071901	37462
GRASO_168	38887259.0	97.0	28216413.0	72.56	96.79	6921203.0	6908733.0	6847350.0	46086.0	4744.0	23023.0	0.41	0.02	1.98	0.01	1.76	9297424.0	23.91	66786.0	0.17	0.0	3.23	0.13	0	1256082	50554
GRASO_169	38648094.0	93.0	16055279.0	41.54	93.16	4962569.0	4937579.0	4890305.0	44294.0	3687.0	24283.0	0.62	0.03	2.33	0.02	1.9	17117889.0	44.29	152503.0	0.39	0.0	12.02	1.75	0	4646008	676415
GRASO_170	38656728.0	98.0	31050291.0	80.32	97.33	7218562.0	7205239.0	7131548.0	53467.0	6465.0	27082.0	0.37	0.02	2.01	0.01	1.78	6654887.0	17.22	54430.0	0.14	0.0	2.21	0.11	0	854584	42536
GRASO_171	41941579.0	97.0	34564059.0	82.41	97.13	7973594.0	7959608.0	7874496.0	60924.0	6638.0	31536.0	0.39	0.02	2.0	0.01	1.72	5724249.0	13.65	52917.0	0.13	0.0	3.72	0.1	0	1558460	41894
GRASO_172	28700481.0	88.0	20005197.0	69.7	96.28	4877023.0	4868157.0	4800515.0	53166.0	4823.0	18519.0	0.4	0.02	2.02	0.01	1.75	4036215.0	14.06	23718.0	0.08	0.0	16.07	0.08	0	4612390	22961
GRASO_173	22697631.0	93.0	16700804.0	73.58	96.66	3667350.0	3659677.0	3616187.0	33532.0	2748.0	14883.0	0.42	0.02	2.04	0.01	1.72	3552985.0	15.65	28242.0	0.12	0.0	10.55	0.09	0	2395167	20433
GRASO_174	22831958.0	98.0	19451074.0	85.19	97.39	5084768.0	5077659.0	5024350.0	36855.0	4133.0	19430.0	0.36	0.02	1.98	0.01	1.7	2921187.0	12.79	17673.0	0.08	0.0	1.83	0.11	0	416961	25063
GRASO_175	28872588.0	96.0	21997747.0	76.19	96.52	5014519.0	5004632.0	4948723.0	41788.0	4752.0	19256.0	0.43	0.02	2.13	0.01	1.73	5621364.0	19.47	27788.0	0.1	0.0	4.17	0.07	0	1205454	20235
