Sample	10	11	12	13	14	15	16	17	18	19	1	20	2	3	4	5	6	7	8	9	MT	X	Y	*
GRASO_143	[2845011, 112626471]	[765501, 90463843]	[6327232, 52716770]	[347007, 114033958]	[56805891, 115493446]	[444022, 111246239]	[425151, 90668790]	[644851, 90843779]	[467978, 88201929]	[1068169, 62275575]	[15777762, 282763074]	[771429, 56205956]	[2278378, 266435125]	[1346803, 177699992]	[1368231, 184226339]	[9488717, 173707219]	[15236681, 147991367]	[6370138, 145729302]	[2659907, 133307652]	[1375609, 122095297]	[163369, 16313]	[2271249, 159970021]	[5073, 3310458]	[0, 0]
GRASO_144	[905832, 112626471]	[286576, 90463843]	[1314382, 52716770]	[260979, 114033958]	[50910399, 115493446]	[273622, 111246239]	[240529, 90668790]	[261451, 90843779]	[274589, 88201929]	[1517014, 62275575]	[17267978, 282763074]	[471932, 56205956]	[1272288, 266435125]	[547162, 177699992]	[604696, 184226339]	[8099847, 173707219]	[11814635, 147991367]	[1278453, 145729302]	[1585223, 133307652]	[1005278, 122095297]	[6706303, 16313]	[696083, 159970021]	[165046, 3310458]	[0, 0]
GRASO_145	[15598900, 112626471]	[5784094, 90463843]	[29098900, 52716770]	[5142889, 114033958]	[31661199, 115493446]	[5643165, 111246239]	[4978235, 90668790]	[7070561, 90843779]	[5183955, 88201929]	[9244209, 62275575]	[31076666, 282763074]	[6603752, 56205956]	[17434948, 266435125]	[12478653, 177699992]	[11861317, 184226339]	[12750265, 173707219]	[32339814, 147991367]	[29071629, 145729302]	[20533143, 133307652]	[8887559, 122095297]	[8826327, 16313]	[15806413, 159970021]	[91672, 3310458]	[0, 0]
GRASO_146	[2756838, 112626471]	[1410676, 90463843]	[6653414, 52716770]	[922124, 114033958]	[15663395, 115493446]	[888118, 111246239]	[881520, 90668790]	[1202472, 90843779]	[957225, 88201929]	[1825492, 62275575]	[10018312, 282763074]	[1726790, 56205956]	[4418554, 266435125]	[2266290, 177699992]	[2106511, 184226339]	[5423724, 173707219]	[11112493, 147991367]	[6018115, 145729302]	[4600918, 133307652]	[1461945, 122095297]	[12433458, 16313]	[3327641, 159970021]	[36849, 3310458]	[0, 0]
GRASO_147	[2362981, 112626471]	[1073990, 90463843]	[4982071, 52716770]	[870043, 114033958]	[3770481, 115493446]	[775347, 111246239]	[845534, 90668790]	[1051502, 90843779]	[786082, 88201929]	[1175407, 62275575]	[4344537, 282763074]	[1202925, 56205956]	[3454217, 266435125]	[2045599, 177699992]	[1997220, 184226339]	[2114342, 173707219]	[5428696, 147991367]	[4845506, 145729302]	[3616714, 133307652]	[1333616, 122095297]	[3396413, 16313]	[2532235, 159970021]	[14903, 3310458]	[0, 0]
GRASO_148	[3002502, 112626471]	[1282212, 90463843]	[6975998, 52716770]	[1125558, 114033958]	[4858375, 115493446]	[1044692, 111246239]	[1143406, 90668790]	[1362734, 90843779]	[1048584, 88201929]	[1844498, 62275575]	[5980111, 282763074]	[1535828, 56205956]	[3908602, 266435125]	[2502580, 177699992]	[2431043, 184226339]	[2657644, 173707219]	[7260866, 147991367]	[6398143, 145729302]	[4826966, 133307652]	[1697871, 122095297]	[3763582, 16313]	[4981830, 159970021]	[18462, 3310458]	[0, 0]
GRASO_149	[2254545, 112626471]	[984503, 90463843]	[4069351, 52716770]	[750486, 114033958]	[3149002, 115493446]	[717906, 111246239]	[732759, 90668790]	[911878, 90843779]	[719751, 88201929]	[1195451, 62275575]	[4388297, 282763074]	[1159098, 56205956]	[2770905, 266435125]	[1757992, 177699992]	[1660589, 184226339]	[1771858, 173707219]	[4839053, 147991367]	[3487200, 145729302]	[2886785, 133307652]	[1195931, 122095297]	[2974512, 16313]	[1883933, 159970021]	[13529, 3310458]	[0, 0]
GRASO_150	[4356486, 112626471]	[2046392, 90463843]	[11846853, 52716770]	[1593877, 114033958]	[6445873, 115493446]	[1496980, 111246239]	[1538226, 90668790]	[2069576, 90843779]	[1637049, 88201929]	[2576697, 62275575]	[9545582, 282763074]	[2451521, 56205956]	[5842967, 266435125]	[3733929, 177699992]	[3591936, 184226339]	[4114648, 173707219]	[11387203, 147991367]	[9351016, 145729302]	[7178508, 133307652]	[2481852, 122095297]	[7753086, 16313]	[5200784, 159970021]	[11576, 3310458]	[0, 0]
GRASO_151	[3208717, 112626471]	[1352951, 90463843]	[7042791, 52716770]	[1027260, 114033958]	[4147720, 115493446]	[959723, 111246239]	[1021002, 90668790]	[1325750, 90843779]	[1006618, 88201929]	[1834548, 62275575]	[6602049, 282763074]	[1794513, 56205956]	[4115940, 266435125]	[2390414, 177699992]	[2301886, 184226339]	[2862011, 173707219]	[7989314, 147991367]	[6240809, 145729302]	[4651764, 133307652]	[1646267, 122095297]	[7578519, 16313]	[3023808, 159970021]	[17705, 3310458]	[0, 0]
GRASO_152	[4265742, 112626471]	[1950200, 90463843]	[6781517, 52716770]	[1651938, 114033958]	[3887848, 115493446]	[1547242, 111246239]	[1413651, 90668790]	[2088726, 90843779]	[1699968, 88201929]	[1889031, 62275575]	[8230933, 282763074]	[2606568, 56205956]	[4946625, 266435125]	[3703262, 177699992]	[3744858, 184226339]	[3790954, 173707219]	[7049299, 147991367]	[6937856, 145729302]	[6022688, 133307652]	[2738400, 122095297]	[4269858, 16313]	[4764827, 159970021]	[30570, 3310458]	[0, 0]
