Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GRASO_151	GRASO_151_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43896285.0	0.0	20-100	48.0	41.145746855137375	96.51533367800943	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_152	GRASO_152_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55664862.0	0.0	20-100	47.0	51.19952861927146	96.8548530669132	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_153	GRASO_153_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47173656.0	0.0	20-100	51.0	54.35199858218754	97.16079211668479	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_154	GRASO_154_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11932823.0	0.0	20-100	49.0	62.7598637328098	93.81345520670172	100	pass	warn	pass	pass	fail	warn	pass	warn	warn	warn	pass
GRASO_155	GRASO_155_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69688275.0	0.0	20-100	50.0	48.271002255432855	97.49843120668434	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_156	GRASO_156_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27811749.0	0.0	20-100	53.0	37.893343575993754	87.9327387141312	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_157	GRASO_157_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37701549.0	0.0	20-100	49.0	56.31547867328878	93.68328792007989	100	pass	warn	pass	pass	fail	warn	pass	warn	warn	warn	pass
GRASO_158	GRASO_158_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30773485.0	0.0	20-100	49.0	50.125225109613304	98.05939002358686	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_159	GRASO_159_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	69519096.0	0.0	20-100	49.0	50.60204659535016	98.03432354759043	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_160	GRASO_160_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49281137.0	0.0	20-100	49.0	49.805822199097456	97.46310832885207	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
GRASO_161	GRASO_161_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35080212.0	0.0	20-100	48.0	51.87068620682573	93.56242596253409	98	pass	warn	pass	pass	fail	warn	pass	warn	warn	warn	pass
GRASO_162	GRASO_162_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51895889.0	0.0	20-100	48.0	49.50827747663671	97.21519297992948	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
GRASO_163	GRASO_163_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36079617.0	0.0	20-100	49.0	46.16457773705307	95.34266879828574	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_164	GRASO_164_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30477057.0	0.0	20-100	49.0	49.26542333839712	94.74195523537591	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
