Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
HIGADO_56	HIGADO_56_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26331821.0	0.0	20-100	54.0	34.3743151822887	97.74715785892666	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_57	HIGADO_57_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39341221.0	0.0	20-100	58.0	27.972161366385617	97.70481378806214	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_58	HIGADO_58_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30927616.0	0.0	20-100	54.0	34.539798168720274	97.62552542038804	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_59	HIGADO_59_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30578043.0	0.0	20-100	52.0	34.4514632335953	97.61783558221826	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
HIGADO_60	HIGADO_60_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32691157.0	0.0	20-100	59.0	32.152116227003454	97.6805704980096	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_100	MUSCULO_100_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78822762.0	0.0	20-100	53.0	30.779936182358767	96.32342637270183	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_101	MUSCULO_101_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41552208.0	0.0	20-100	52.0	36.45739366049311	97.6008033074921	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_102	MUSCULO_102_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21019083.0	0.0	20-100	52.0	38.72207990874901	97.25536742016766	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_103	MUSCULO_103_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24912673.0	0.0	20-100	55.0	35.93754813679535	96.26095304987948	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_104	MUSCULO_104_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35094632.0	0.0	20-100	52.0	36.48992868759021	96.77447986917201	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_105	MUSCULO_105_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33712876.0	0.0	20-100	55.0	36.26193926814507	95.68282166137354	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_106	MUSCULO_106_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26306309.0	0.0	20-100	53.0	34.57905513492908	95.0791781545636	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_107	MUSCULO_107_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35047137.0	0.0	20-100	52.0	37.65729092374126	95.91120147702793	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_108	MUSCULO_108_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53614607.0	0.0	20-100	52.0	34.134854915610546	96.39950429926681	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_109	MUSCULO_109_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26650172.0	0.0	20-100	52.0	38.53093907406395	97.06243411862407	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_110	MUSCULO_110_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26958565.0	0.0	20-100	53.0	39.65978166244889	96.52201895761144	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_111	MUSCULO_111_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25665794.0	0.0	20-100	54.0	37.68954350544931	95.29962548596782	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_112	MUSCULO_112_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33629243.0	0.0	20-100	52.0	36.0133105714581	95.77847999730473	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_113	MUSCULO_113_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34711404.0	0.0	20-100	49.0	41.318468704579004	95.87909696767092	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
MUSCULO_114	MUSCULO_114_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33653206.0	0.0	20-100	48.0	35.12237944423784	93.63109333476281	98	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_115	MUSCULO_115_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42790613.0	0.0	20-100	49.0	36.68933224890778	95.78187692707277	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
MUSCULO_116	MUSCULO_116_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66357042.0	0.0	20-100	52.0	28.426463368706102	96.13248550168949	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_117	MUSCULO_117_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23832523.0	0.0	20-100	50.0	36.750715470068414	95.7543414098457	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_118	MUSCULO_118_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34754701.0	0.0	20-100	53.0	37.39002328424797	97.21442069088725	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_119	MUSCULO_119_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31296375.0	0.0	20-100	51.0	33.09133572890177	95.66469663020078	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_120	MUSCULO_120_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30587082.0	0.0	20-100	52.0	38.54927209431578	96.80979813635051	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_61	MUSCULO_61_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46814897.0	0.0	20-100	54.0	33.091984106995056	97.370983855844	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_62	MUSCULO_62_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57844736.0	0.0	20-100	50.0	33.5975911541184	97.4076462895431	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_63	MUSCULO_63_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49666193.0	0.0	20-100	53.0	36.51737050841715	97.75659890018146	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_64	MUSCULO_64_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29516939.0	0.0	20-100	53.0	35.66767898058007	98.00325758710956	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_65	MUSCULO_65_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23530461.0	0.0	20-100	51.0	39.60825860497285	97.90045762384341	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_66	MUSCULO_66_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23468142.0	0.0	20-100	49.0	40.739183291663615	96.97802126815152	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_67	MUSCULO_67_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26438218.0	0.0	20-100	51.0	35.789969132895386	97.21031432602607	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_68	MUSCULO_68_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23443338.0	0.0	20-100	52.0	40.89396948115211	97.3400810072354	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_69	MUSCULO_69_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24130998.0	0.0	20-100	51.0	39.91402424100238	97.90429305907696	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_70	MUSCULO_70_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26833639.0	0.0	20-100	52.0	35.593216679003206	95.99431251199287	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_71	MUSCULO_71_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26126338.0	0.0	20-100	51.0	39.8618252691115	97.60956051322616	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_72	MUSCULO_72_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18129888.0	0.0	20-100	52.0	40.3137466054753	98.05389785088579	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_73	MUSCULO_73_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37490766.0	0.0	20-100	54.0	34.291577742857974	97.32949900250104	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_74	MUSCULO_74_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37374561.0	0.0	20-100	50.0	40.15377765915492	97.02067719270335	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_75	MUSCULO_75_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31001726.0	0.0	20-100	51.0	39.688442241335196	97.42649670537699	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_76	MUSCULO_76_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29503119.0	0.0	20-100	49.0	42.05578943053093	96.70348060488114	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_77	MUSCULO_77_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57990788.0	0.0	20-100	51.0	38.437326593381584	97.2616651458504	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_78	MUSCULO_78_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51070376.0	0.0	20-100	55.0	33.145791599504484	97.38402345030708	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_79	MUSCULO_79_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37997139.0	0.0	20-100	53.0	35.673313973022005	97.71547699946566	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_80	MUSCULO_80_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28670602.0	0.0	20-100	53.0	38.36731718510173	97.69263805482703	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_81	MUSCULO_81_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27214567.0	0.0	20-100	53.0	38.27968481397735	97.02438543299256	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_82	MUSCULO_82_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39728240.0	0.0	20-100	51.0	35.46695889711275	97.09349883105821	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
MUSCULO_83	MUSCULO_83_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50213489.0	0.0	20-100	54.0	32.217864553867	97.2317028199335	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_84	MUSCULO_84_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36748082.0	0.0	20-100	49.0	37.37026515197552	97.5700749225497	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_85	MUSCULO_85_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37314074.0	0.0	20-100	51.0	35.65825203901328	97.217548477821	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_86	MUSCULO_86_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33831233.0	0.0	20-100	56.0	34.94825404310933	97.21252015851742	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_87	MUSCULO_87_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35521579.0	0.0	20-100	52.0	36.79104421264151	97.74759331503816	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_88	MUSCULO_88_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45814473.0	0.0	20-100	54.0	34.56550647247605	95.6629943555173	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_89	MUSCULO_89_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26627098.0	0.0	20-100	47.0	37.72847865562802	96.17048429385733	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_90	MUSCULO_90_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85319737.0	0.0	20-100	51.0	30.6274227554779	97.51061422048218	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_91	MUSCULO_91_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38959418.0	0.0	20-100	52.0	39.39273126986234	97.25010193940783	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_92	MUSCULO_92_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43801533.0	0.0	20-100	49.0	41.92175270675978	96.65545080351411	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
MUSCULO_93	MUSCULO_93_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39942323.0	0.0	20-100	50.0	36.32730279066184	97.40602508271739	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
MUSCULO_94	MUSCULO_94_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31069378.0	0.0	20-100	53.0	34.48294580891316	97.08317527309366	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_95	MUSCULO_95_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44533827.0	0.0	20-100	51.0	34.06542094158093	97.81408608786305	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_96	MUSCULO_96_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36738252.0	0.0	20-100	51.0	42.84742716623006	97.65593060878345	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
MUSCULO_97	MUSCULO_97_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30478260.0	0.0	20-100	62.0	28.377592258880757	95.40877353234733	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
MUSCULO_98	MUSCULO_98_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47225717.0	0.0	20-100	50.0	41.244480454895346	96.23636613076727	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
MUSCULO_99	MUSCULO_99_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44457191.0	0.0	20-100	52.0	33.821371855063845	96.00844484304012	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
