Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
HIGADO_16	Unknown Library	31733544.0	0.0	45791940.0	0.0	26978721.0	0.0	0.0	0.850164	
HIGADO_17	Unknown Library	46676136.0	0.0	45885181.0	0.0	39543331.0	0.0	0.0	0.847185	
HIGADO_18	Unknown Library	58323176.0	0.0	83537712.0	0.0	50821258.0	0.0	0.0	0.871373	
HIGADO_19	Unknown Library	44064168.0	0.0	41397785.0	0.0	37182346.0	0.0	0.0	0.843823	
HIGADO_20	Unknown Library	29910051.0	0.0	30753702.0	0.0	24587759.0	0.0	0.0	0.822057	
HIGADO_21	Unknown Library	70759548.0	0.0	75141282.0	0.0	61145023.0	0.0	0.0	0.864124	
HIGADO_22	Unknown Library	19929310.0	0.0	20880689.0	0.0	16256171.0	0.0	0.0	0.815692	
HIGADO_23	Unknown Library	44011946.0	0.0	44284567.0	0.0	37026957.0	0.0	0.0	0.841293	
HIGADO_24	Unknown Library	46371239.0	0.0	56628174.0	0.0	39870886.0	0.0	0.0	0.859819	
HIGADO_25	Unknown Library	19008141.0	0.0	12559741.0	0.0	15130524.0	0.0	0.0	0.796002	
HIGADO_26	Unknown Library	26730652.0	0.0	18347321.0	0.0	21561658.0	0.0	0.0	0.806627	
HIGADO_27	Unknown Library	39601720.0	0.0	22512437.0	0.0	33269691.0	0.0	0.0	0.840107	
HIGADO_28	Unknown Library	24594074.0	0.0	14646469.0	0.0	20006294.0	0.0	0.0	0.81346	
HIGADO_29	Unknown Library	26066710.0	0.0	24371748.0	0.0	21145061.0	0.0	0.0	0.81119	
HIGADO_30	Unknown Library	33088415.0	0.0	27310097.0	0.0	27367572.0	0.0	0.0	0.827104	
HIGADO_31	Unknown Library	25096730.0	0.0	22362014.0	0.0	20321476.0	0.0	0.0	0.809726	
HIGADO_32	Unknown Library	25601096.0	0.0	17411904.0	0.0	20688488.0	0.0	0.0	0.808109	
HIGADO_33	Unknown Library	30592244.0	0.0	29906387.0	0.0	25470051.0	0.0	0.0	0.832566	
HIGADO_34	Unknown Library	55814841.0	0.0	53607864.0	0.0	47494268.0	0.0	0.0	0.850925	
HIGADO_35	Unknown Library	27670244.0	0.0	32280218.0	0.0	22851418.0	0.0	0.0	0.825848	
HIGADO_36	Unknown Library	35949781.0	0.0	34444467.0	0.0	30220835.0	0.0	0.0	0.84064	
HIGADO_37	Unknown Library	27097043.0	0.0	20094646.0	0.0	21563678.0	0.0	0.0	0.795795	
HIGADO_38	Unknown Library	26543542.0	0.0	20620961.0	0.0	21723666.0	0.0	0.0	0.818416	
HIGADO_39	Unknown Library	32500999.0	0.0	28437623.0	0.0	27070345.0	0.0	0.0	0.832908	
HIGADO_40	Unknown Library	28483515.0	0.0	26267235.0	0.0	23569575.0	0.0	0.0	0.827481	
HIGADO_41	Unknown Library	45115175.0	0.0	52337633.0	0.0	38022040.0	0.0	0.0	0.842777	
HIGADO_42	Unknown Library	43254007.0	0.0	42757740.0	0.0	36193417.0	0.0	0.0	0.836764	
HIGADO_43	Unknown Library	40650769.0	0.0	38235230.0	0.0	34720748.0	0.0	0.0	0.854123	
HIGADO_44	Unknown Library	28690380.0	0.0	28750094.0	0.0	24165980.0	0.0	0.0	0.842303	
HIGADO_45	Unknown Library	37914414.0	0.0	52485994.0	0.0	32403202.0	0.0	0.0	0.854641	
HIGADO_46	Unknown Library	27291904.0	0.0	27981155.0	0.0	22825283.0	0.0	0.0	0.836339	
HIGADO_47	Unknown Library	24079217.0	0.0	32512544.0	0.0	19935194.0	0.0	0.0	0.8279	
HIGADO_48	Unknown Library	31597728.0	0.0	54188170.0	0.0	26394130.0	0.0	0.0	0.835317	
HIGADO_49	Unknown Library	51666102.0	0.0	60006835.0	0.0	44165607.0	0.0	0.0	0.854828	
HIGADO_50	Unknown Library	30939343.0	0.0	35830891.0	0.0	25547722.0	0.0	0.0	0.825736	
HIGADO_51	Unknown Library	29047636.0	0.0	31546871.0	0.0	22765053.0	0.0	0.0	0.783714	
HIGADO_52	Unknown Library	39148395.0	0.0	52815543.0	0.0	32708371.0	0.0	0.0	0.835497	
HIGADO_53	Unknown Library	26868406.0	0.0	32737975.0	0.0	21695479.0	0.0	0.0	0.807472	
HIGADO_54	Unknown Library	30697364.0	0.0	25169697.0	0.0	25420550.0	0.0	0.0	0.828102	
HIGADO_55	Unknown Library	26906000.0	0.0	34967593.0	0.0	22238704.0	0.0	0.0	0.826533	
HIGADO_56	Unknown Library	25038856.0	0.0	36297298.0	0.0	20569065.0	0.0	0.0	0.821486	
HIGADO_57	Unknown Library	35420255.0	0.0	63716987.0	0.0	30429734.0	0.0	0.0	0.859105	
HIGADO_58	Unknown Library	28741732.0	0.0	33192195.0	0.0	23586395.0	0.0	0.0	0.820632	
HIGADO_59	Unknown Library	29218932.0	0.0	28052037.0	0.0	24135681.0	0.0	0.0	0.826029	
HIGADO_60	Unknown Library	29000696.0	0.0	45819407.0	0.0	23784151.0	0.0	0.0	0.820123	
MUSCULO_100	Unknown Library	73943808.0	0.0	70131169.0	0.0	63823622.0	0.0	0.0	0.863137	
MUSCULO_101	Unknown Library	39941691.0	0.0	27108142.0	0.0	33367963.0	0.0	0.0	0.835417	
MUSCULO_102	Unknown Library	20067481.0	0.0	16043794.0	0.0	15918914.0	0.0	0.0	0.793269	
MUSCULO_103	Unknown Library	22802088.0	0.0	27272227.0	0.0	18465095.0	0.0	0.0	0.809798	
MUSCULO_104	Unknown Library	33631629.0	0.0	25627014.0	0.0	27404656.0	0.0	0.0	0.814848	
MUSCULO_105	Unknown Library	31451099.0	0.0	32682449.0	0.0	25879949.0	0.0	0.0	0.822863	
MUSCULO_106	Unknown Library	24814990.0	0.0	30219670.0	0.0	20462099.0	0.0	0.0	0.824586	
MUSCULO_107	Unknown Library	33435677.0	0.0	27721632.0	0.0	27219921.0	0.0	0.0	0.814098	
MUSCULO_108	Unknown Library	51269431.0	0.0	39145776.0	0.0	43289504.0	0.0	0.0	0.844353	
MUSCULO_109	Unknown Library	25484830.0	0.0	16918411.0	0.0	20576799.0	0.0	0.0	0.807414	
MUSCULO_110	Unknown Library	25594306.0	0.0	26546351.0	0.0	20311426.0	0.0	0.0	0.793592	
MUSCULO_111	Unknown Library	23965167.0	0.0	25253559.0	0.0	19075247.0	0.0	0.0	0.795957	
MUSCULO_112	Unknown Library	31921623.0	0.0	24778573.0	0.0	26382264.0	0.0	0.0	0.82647	
MUSCULO_113	Unknown Library	33182200.0	0.0	14033111.0	0.0	25984476.0	0.0	0.0	0.783085	
MUSCULO_114	Unknown Library	31992884.0	0.0	22367283.0	0.0	26575372.0	0.0	0.0	0.830665	
MUSCULO_115	Unknown Library	41582190.0	0.0	24350392.0	0.0	33852040.0	0.0	0.0	0.814099	
MUSCULO_116	Unknown Library	63027437.0	0.0	69108914.0	0.0	54931697.0	0.0	0.0	0.871552	
MUSCULO_117	Unknown Library	23008511.0	0.0	15461936.0	0.0	18774729.0	0.0	0.0	0.815991	
MUSCULO_118	Unknown Library	33489571.0	0.0	27356294.0	0.0	27481339.0	0.0	0.0	0.820594	
MUSCULO_119	Unknown Library	29937121.0	0.0	37392430.0	0.0	25050708.0	0.0	0.0	0.836777	
