Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
MUSCULO_66	3.4	23655802	2986456	23655802	2298394390	11041942	2281892107	0.7179917890419145
MUSCULO_67	3.4	26480967	3422198	26480967	2588913097	6627286	2576641053	0.47402301816235903
MUSCULO_68	3.4	23511178	3170028	23511178	2299416559	6283300	2287902238	0.5007496773445651
MUSCULO_69	3.4	24163260	3087414	24163260	2378111389	4815219	2368434285	0.40692391638010017
MUSCULO_70	3.4	26940888	3348775	26940888	2598749495	9785904	2582913641	0.6093643896985154
MUSCULO_71	3.4	26191579	3558165	26191579	2568884206	6447490	2556626160	0.4771739407860255
MUSCULO_72	3.4	18150615	2411742	18150615	1789283259	3514338	1782065576	0.4033840345677766
MUSCULO_73	3.4	37972964	5055340	37972964	3690448087	23323853	3658743827	0.8590897162781306
MUSCULO_74	3.4	39053196	4542064	39053196	3709292229	63995690	3635913925	1.9782292542580904
MUSCULO_75	3.4	31881459	3956233	31881459	3071428869	35725209	3028280337	1.4048357894756769
MUSCULO_76	3.4	31587232	3450050	31587232	2945836930	76899727	2860859649	2.88465665341496
MUSCULO_77	3.4	59209322	7526679	59209322	5721413425	52466161	5655444976	1.1530096516316681
MUSCULO_78	3.4	52054746	6928089	52054746	5042232441	43870715	4986616218	1.10300791664753
MUSCULO_79	3.4	38704492	5227673	38704492	3761569191	30294747	3722545286	1.0374368519757478
MUSCULO_80	3.4	29445676	3701273	29445676	2845747157	31023834	2808098466	1.3229808877219236
MUSCULO_81	3.4	29336714	3643366	29336714	2734202663	78560739	2647636736	3.1660391591096917
MUSCULO_82	3.4	40044021	5271504	40044021	3894381046	17701103	3867561181	0.6886810685242842
MUSCULO_83	3.4	52137428	6975013	52137428	4984529282	76660178	4895239984	1.7913285878857037
MUSCULO_84	3.4	38920708	4581338	38920708	3685718166	81113930	3594801077	2.4667401278451413
MUSCULO_85	3.4	40997400	4699130	40997400	3782387768	133575651	3637238247	3.8375103216016955
MUSCULO_86	3.4	35845593	4554690	35845593	3383977507	77234784	3297541218	2.5542808373046317
MUSCULO_87	3.4	36066809	4742618	36066809	3513543220	24786976	3480903149	0.9289787817097068
MUSCULO_88	3.4	47988911	5512870	47988911	4491956740	84565707	4395903575	2.138336822005993
MUSCULO_89	3.4	27580648	2880063	27580648	2611212227	37242740	2567806257	1.6622919252284891
MUSCULO_90	3.4	86860276	11311801	86860276	8427676606	66969099	8341212236	1.0259573787921876
MUSCULO_91	3.4	40559663	5179862	40559663	3870344455	61427072	3798857765	1.8470368937743553
MUSCULO_92	3.4	46632808	5262108	46632808	4362888850	104885969	4245378109	2.6934158774180093
MUSCULO_93	3.4	41618585	5124684	41618585	3976128679	65142487	3900871118	1.8927345434637026
MUSCULO_94	3.4	33416767	4180506	33416767	3120573935	86961671	3024266083	3.0862224067125013
MUSCULO_95	3.4	45518759	5924593	45518759	4419713069	42414459	4366953843	1.1937251395357493
MUSCULO_96	3.4	38460264	5112911	38460264	3673582106	66587153	3596813804	2.089739654236001
MUSCULO_97	3.4	34179826	4098344	34179826	3063067166	136210559	2916535913	4.783808028321896
MUSCULO_98	3.4	47607038	6030195	47607038	4591652214	22967973	4557428395	0.745348676357743
MUSCULO_99	3.4	45140390	5647662	45140390	4321827151	31566596	4280318343	0.9604458149233372
