Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
HIGADO_34	5297063.0	173328.0	1339477.0	1919218.0	55699.0	66918.0	56845.0	306450.0	369428.0	82280.0	819878.0
HIGADO_35	3448313.0	119205.0	905868.0	747994.0	35378.0	31746.0	26472.0	201457.0	230449.0	42675.0	423383.0
HIGADO_36	4033474.0	128129.0	1055674.0	978993.0	37219.0	37659.0	29720.0	239036.0	281728.0	53919.0	492868.0
HIGADO_37	3492139.0	104985.0	923189.0	1303641.0	32839.0	39481.0	32882.0	207821.0	245615.0	49894.0	522101.0
HIGADO_38	3559742.0	107959.0	931961.0	684883.0	29743.0	29047.0	22638.0	208399.0	240646.0	43284.0	395935.0
HIGADO_39	3967083.0	128421.0	1026299.0	810397.0	36458.0	34822.0	28919.0	227706.0	264939.0	50326.0	460334.0
HIGADO_40	3558750.0	120883.0	921708.0	752140.0	34596.0	32050.0	26602.0	203562.0	236441.0	45758.0	420622.0
HIGADO_41	4737276.0	171359.0	1147191.0	1539796.0	53615.0	53547.0	42723.0	258363.0	299607.0	61750.0	659546.0
HIGADO_42	4588506.0	160640.0	1107596.0	1638227.0	50300.0	55723.0	47780.0	248520.0	294849.0	64174.0	680469.0
HIGADO_43	4354317.0	156578.0	1014049.0	976577.0	45432.0	43327.0	34872.0	226032.0	263037.0	52759.0	524572.0
HIGADO_44	3321095.0	112350.0	808174.0	714036.0	31559.0	30690.0	24905.0	177056.0	205471.0	40386.0	402301.0
HIGADO_45	3710603.0	126030.0	923101.0	1134077.0	37625.0	40761.0	33819.0	203552.0	235516.0	49577.0	529493.0
HIGADO_46	3595213.0	115334.0	833862.0	543864.0	31307.0	26680.0	20608.0	173883.0	195965.0	35419.0	340048.0
HIGADO_47	3108949.0	106141.0	776607.0	602495.0	29243.0	25084.0	19541.0	167020.0	190709.0	35201.0	342280.0
HIGADO_48	3324802.0	118979.0	843679.0	1219281.0	36575.0	37839.0	31218.0	185529.0	219083.0	45845.0	496306.0
HIGADO_49	5567232.0	189139.0	1358442.0	1190595.0	54918.0	48715.0	36486.0	300076.0	343482.0	61908.0	608048.0
HIGADO_50	4060717.0	134940.0	991412.0	809591.0	37352.0	33319.0	25730.0	214721.0	245970.0	43911.0	436892.0
HIGADO_51	3625823.0	120991.0	940563.0	1793414.0	39885.0	48235.0	41621.0	211849.0	253620.0	56057.0	637323.0
HIGADO_52	4438185.0	147428.0	1093310.0	1295364.0	43591.0	45607.0	37703.0	237888.0	274296.0	54982.0	581196.0
HIGADO_53	3697409.0	123596.0	933784.0	906041.0	35426.0	32673.0	25943.0	201744.0	230883.0	43797.0	441876.0
HIGADO_54	4209103.0	135498.0	1004497.0	629873.0	35140.0	30353.0	22619.0	216255.0	244351.0	42355.0	392947.0
HIGADO_55	3580483.0	124843.0	881548.0	636155.0	34657.0	29291.0	23199.0	184709.0	204059.0	37806.0	383564.0
